time,bot_name,sym,side,amount,price
2025-11-27T19:48:52.725544,Logic Bot,ETHUSDT,sell,2,2987
2025-11-27T19:48:57.865364,Logic Bot,ETHUSDT,buy,4,2988
2025-11-27T19:50:00.132931,Logic Bot,ETHUSDT,sell,4,2985
2025-11-27T19:50:05.282780,Logic Bot,ETHUSDT,buy,8,2986
2025-11-27T19:50:21.096365,Logic Bot,ETHUSDT,sell,8,2989
2025-11-27T19:50:26.344974,Logic Bot,ETHUSDT,buy,1,2988
2025-11-27T19:50:53.045521,Logic Bot,ETHUSDT,sell,1,2985
2025-11-27T19:50:58.402482,Logic Bot,ETHUSDT,buy,2,2986
2025-11-27T19:52:02.415464,Logic Bot,ETHUSDT,sell,2,2989
2025-11-27T19:52:07.769404,Logic Bot,ETHUSDT,buy,1,2988
2025-11-27T19:53:11.811237,Logic Bot,ETHUSDT,sell,1,2990
2025-11-27T19:53:17.158847,Logic Bot,ETHUSDT,buy,1,2990
2025-11-27T19:53:33.178584,Logic Bot,ETHUSDT,sell,1,2992
2025-11-27T19:53:38.537739,Logic Bot,ETHUSDT,buy,1,2991
2025-11-27T19:54:42.523251,Logic Bot,ETHUSDT,sell,1,2988
2025-11-27T19:54:47.877725,Logic Bot,ETHUSDT,buy,2,2989
2025-11-27T19:56:02.614578,Logic Bot,ETHUSDT,sell,2,2992
2025-11-27T19:56:07.964459,Logic Bot,ETHUSDT,buy,1,2991
2025-11-27T19:56:29.322677,Logic Bot,ETHUSDT,sell,1,2994
2025-11-27T19:56:34.671877,Logic Bot,ETHUSDT,buy,1,2993
2025-11-27T19:56:40.028732,Logic Bot,ETHUSDT,sell,1,2997
2025-11-27T19:56:45.417719,Logic Bot,ETHUSDT,buy,1,2996
2025-11-27T19:57:01.431617,Logic Bot,ETHUSDT,sell,1,2998
2025-11-27T19:57:06.784535,Logic Bot,ETHUSDT,buy,1,2997
2025-11-27T20:36:55.979471,Logic Bot,ETHUSDT,buy,1,2997
